Timestamp,PDF Filename,Metadata File,Status,Result
2025-05-18T17:18:20.617944,10.1007:s11783-022-1594-8.pdf,10.1007:s11783-022-1594-8_metadata.json,Success,10.1007/s11783-022-1594-8
2025-05-18T17:36:49.733182,10.1002:slct.202002594.pdf,10.1002:slct.202002594_metadata.json,Success,10.1002/slct.202002594
